SELECT,SEX,Group,Mass,MMR
MAX,M,MAXM,27.035,6.011407
CONT,M,CONTM,32.5,6.223313
CONT,F,CONTF,22.04,4.578627
CONT,M,CONTM,26.735,5.312828
CONT,M,CONTM,26.02,4.973018
CONT,F,CONTF,20.69,4.395044
CONT,F,CONTF,22.52,4.802285
CONT,M,CONTM,26.915,5.335619
CONT,M,CONTM,29.24,5.860437
CONT,F,CONTF,21.32,4.670618
ANTAG,M,ANTAGM,27.615,6.05055
ANTAG,F,ANTAGF,24.98,5.330972
